Date,Count
6/1/2016,42869
6/2/2016,46339
6/3/2016,54391
6/4/2016,66186
6/5/2016,51552
6/6/2016,38993
6/7/2016,40615
6/8/2016,47278
6/9/2016,45042
6/10/2016,50795
6/11/2016,59278
6/12/2016,48480
6/13/2016,37941
6/14/2016,37737
6/15/2016,42177
6/16/2016,45686
6/17/2016,52327
6/18/2016,60909
6/19/2016,52528
6/20/2016,38499
6/21/2016,39289
6/22/2016,41869
6/23/2016,45032
6/24/2016,50677
6/25/2016,58952
6/26/2016,51363
6/27/2016,39832
6/28/2016,37497
6/29/2016,38168
6/30/2016,42425
